area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Tecnología,Ingeniería en Química,0.796,0.846,1434782,8.00,11.40,0.661,0.888,0.790,0.774,0.820,0.695,0.847,0.935,0.809,0.802,1,13.00000,178.00000,9.00000,168.00000,74,10,74,2,,,,,,,,,,,1292483.000,1335238.000,1385869.000,1342503.000,1512672.000,107,64,241,43,154,395,0,0,0,0,0,0,0,100,68,32,611811,860151,744397,1118925,911651,1433615,1154560,1765455,1890233,2163342,1034074,1481366,1223168,0.787,0.689,1354261,Instituto Profesional
Administración y Comercio,Ingeniería en Recursos Humanos,0.788,0.831,1456455,8.00,9.70,0.727,0.809,0.814,0.776,0.770,0.806,0.818,0.861,0.823,0.814,1,485.00000,2150.00000,96.00000,3699.00000,75,1,75,2,,,,,,,,,,,1461418.000,1420487.000,1481254.000,1399280.000,1485004.000,2155,1744,6379,411,1682,8061,0,0,0,0,0,0,0,1293,1018,275,604159,722278,716417,959410,960832,1338432,1395039,1838895,2004942,2361296,1166738,1507750,1261888,0.757,0.633,1336107,Instituto Profesional
Tecnología,Ingeniería en Refrigeración y Climatización,0.796,0.864,1513091,8.00,11.40,0.758,0.872,0.729,0.774,0.872,0.803,0.914,0.878,0.877,0.847,1,21.00000,54.00000,6.00000,117.00000,76,10,76,2,,,,,,,,,,,1517029.000,1605305.000,1608923.000,1268355.000,1598109.000,57,7,18,50,189,207,0,0,0,0,0,0,0,66,0,66,702491,868030,786979,1053030,993913,1393318,1267947,1615586,1718344,1936592,1141275,1554698,1279455,,,1404120,Instituto Profesional
Administración y Comercio,Ingeniería en Seguridad Privada,0.993,0.991,2009189,8.00,8.50,1.000,0.996,0.996,0.990,0.993,0.993,0.992,0.986,0.998,0.988,1,174.00000,1499.00000,34.00000,1338.00000,77,1,77,2,,,,,,,,,,,,,,,,856,215,849,641,3191,4040,0,0,0,0,0,0,0,751,110,641,1434236,1643523,1504872,1648173,1648173,1851403,2015282,2370150,2570621,2664054,1826793,2077960,1889700,0.855,0.709,1943319,Instituto Profesional
Tecnología,Ingeniería en Sonido,0.443,0.556,1042136,8.00,10.00,0.200,0.378,0.391,0.534,0.405,0.392,0.362,0.551,0.522,0.586,1,72.00000,541.00000,200.00000,1172.00000,78,10,78,2,,,,,,,,,,,948755.000,952897.000,1063897.000,989938.000,1063560.000,551,47,177,504,1883,2060,0,0,0,0,0,0,0,171,15,156,538094,676152,598275,745732,724694,918246,886542,1074288,1065451,1429163,863549,1073751,953875,0.789,0.699,1001510,Instituto Profesional
Tecnología,Ingeniería en Telecomunicaciones,0.860,0.888,1751537,8.00,10.90,0.819,0.841,0.876,0.855,0.850,0.839,0.882,0.937,0.886,0.860,1,148.00000,377.00000,20.00000,607.00000,79,10,79,2,,,,,,,,,,,1599567.000,1813054.000,1765469.000,1690571.000,1805325.000,254,27,129,227,1082,1211,0,0,0,0,0,0,0,282,28,254,627048,928883,779634,1202058,1025425,1661607,1317498,2227096,1719629,2838489,1169595,1882081,1348102,0.797,0.686,1515989,Instituto Profesional
Tecnología,Ingeniería Industrial,0.954,0.951,2847984,8.00,9.60,0.909,0.957,0.948,0.949,0.960,0.887,0.931,0.944,0.959,0.947,1,1066.00000,4507.00000,144.00000,4016.00000,80,10,80,2,,,,,,,,,,,1695418.000,1859604.000,2066471.000,3043535.000,3242902.000,4139,696,1777,3443,11093,12870,0,0,0,0,0,0,0,893,95,798,1092995,910324,1579187,1616242,2374627,2590734,3817961,4015406,6228482,6356985,3119070,2388778,3295197,0.681,0.544,3271924,Instituto Profesional
Tecnología,Ingeniería Mecánica,0.866,0.909,1863351,8.00,11.30,0.799,0.888,0.897,0.853,0.840,0.823,0.887,0.934,0.898,0.904,1,68.00000,208.00000,14.00000,228.00000,81,10,81,2,,,,,,,,,,,1719474.000,1803559.000,1905831.000,1810396.000,1879452.000,85,6,20,79,544,564,0,0,0,0,0,0,0,702,48,654,688418,828474,864922,1139632,1168281,1664460,1593887,2316607,2331713,3627667,1395757,1997064,1552731,0.833,0.778,1719933,Instituto Profesional
Salud,Kinesiología,0.426,0.550,1218596,10.00,13.00,0.455,0.759,0.605,0.391,0.293,0.627,0.761,0.793,0.616,0.488,1,91.00000,519.00000,22.00000,785.00000,82,9,82,2,,,,,,,,,,,,,,,,368,205,817,163,664,1481,0,0,0,0,0,0,0,114,56,58,512326,593088,612386,798846,754705,1105870,898038,1474571,1236844,1828989,862539,1241087,950227,0.777,0.702,1144424,Instituto Profesional
Arte y Arquitectura,"Música, Canto o Danza",0.299,0.380,1090633,8.90,10.70,0.109,0.279,0.283,0.283,0.331,0.275,0.281,0.400,0.354,0.403,1,46.00000,280.00000,386.00000,729.00000,83,3,83,2,,,,,,,,,,,1271902.000,1125197.000,1072498.000,976244.000,1205100.000,302,127,490,175,1054,1544,0,0,0,0,0,0,0,243,64,179,546014,568045,597730,691418,801414,978592,1153158,1475429,1471645,1725481,966115,1119417,992771,0.721,0.513,1019151,Instituto Profesional
