area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Arte y Arquitectura,Técnico en Diseño Gráfico,0.475,0.459,863094,4.80,6.10,0.271,0.242,0.483,0.381,0.520,0.405,0.384,0.380,0.517,0.455,1,32.00000,267.00000,50.00000,428.00000,105,3,105,2,,,,,,,,,,,870217.000,865759.000,851067.000,861097.000,906491.000,352,193,528,159,415,943,0,0,0,0,0,0,0,223,121,102,544486,550825,631674,649758,806124,839647,1113259,1104137,1853223,1277681,914509,934014,839185,0.634,,859415,Instituto Profesional
Tecnología,Técnico en Electricidad y Electricidad Industrial,0.785,0.824,1353688,4.90,6.00,0.663,0.772,0.797,0.777,0.778,0.729,0.774,0.838,0.831,0.804,1,506.00000,2525.00000,106.00000,2607.00000,106,10,106,2,,,,,,,,,,,1245114.000,1270962.000,1290792.000,1374143.000,1400285.000,3110,141,320,2969,6785,7105,0,0,0,0,0,0,0,1210,52,1158,617268,727675,799265,930699,1055339,1314402,1502814,1805227,2140502,2537631,1223582,1422251,1273307,0.691,,1348053,Instituto Profesional
Tecnología,Técnico en Electromecánica,0.806,0.826,1298724,4.80,6.00,0.752,0.837,0.825,0.796,0.789,0.775,0.845,0.873,0.833,0.768,1,22.00000,176.00000,11.00000,167.00000,107,10,107,2,,,,,,,,,,,1316868.000,1258179.000,1241721.000,1298849.000,1420548.000,83,14,56,69,352,408,0,0,0,0,0,0,0,134,10,124,684020,727973,821881,942519,1093122,1202458,1403343,1571989,1736670,2193884,1077527,1341674,1196766,0.749,,1226714,Instituto Profesional
Tecnología,Técnico en Energía,0.668,0.697,1147534,5.00,6.90,,,,,,,,,,,1,12.00000,117.00000,13.00000,148.00000,108,10,108,2,,,,,,,,,,,,,,,,143,23,59,120,299,358,0,0,0,0,0,0,0,125,15,110,612464,601782,694873,788987,795350,946800,1042498,1209516,1390463,2514674,940791,1430417,985420,0.768,,1095656,Instituto Profesional
Salud,Técnico en Enfermería,0.658,0.708,888654,5.00,5.80,0.641,0.775,0.700,0.654,0.617,0.694,0.798,0.744,0.702,0.680,1,707.00000,6712.00000,271.00000,7864.00000,109,9,109,2,,,,,,,,,,,842338.000,915236.000,885144.000,882423.000,901326.000,5744,4710,14923,1034,3181,18104,0,0,0,0,0,0,0,6237,5259,978,563111,615149,640247,715572,772159,862325,921306,1027221,1101859,1252412,802205,916826,837348,0.720,,863859,Instituto Profesional
Salud,Técnico en Farmacia,0.765,0.809,1001559,5.00,5.70,0.760,0.797,0.773,0.758,0.764,0.769,0.857,0.889,0.826,0.753,1,58.00000,489.00000,24.00000,822.00000,110,9,110,2,,,,,,,,,,,,,,,,712,530,1229,182,416,1645,0,0,0,0,0,0,0,275,182,93,605200,657966,685710,873849,842745,1054384,1033787,1289924,1198849,1705511,862995,1040903,893354,0.797,,970064,Instituto Profesional
Administración y Comercio,Técnico en Gastronomía y Cocina,0.457,0.496,806822,4.90,6.10,0.250,0.391,0.437,0.471,0.463,0.290,0.462,0.519,0.471,0.506,1,110.00000,691.00000,103.00000,1139.00000,111,1,111,2,,,,,,,,,,,719624.000,784999.000,790587.000,834039.000,794943.000,861,423,1107,438,1177,2284,0,0,0,0,0,0,0,489,246,243,538316,559507,586705,622799,692436,756784,808289,935777,1076803,1291631,749994,900569,764655,0.747,,798502,Instituto Profesional
Ciencias Básicas,Técnico en Geología,0.580,0.623,947952,5.00,7.10,0.302,0.567,0.615,0.638,0.468,0.554,0.500,0.690,0.600,0.610,1,3.00000,41.00000,4.00000,108.00000,112,4,112,2,,,,,,,,,,,,,,,,38,14,53,24,106,159,0,0,0,0,0,0,0,46,19,27,577555,614523,651579,727786,921184,880335,1143870,1194935,1387094,1766938,860678,1078712,955425,0.800,,963681,Instituto Profesional
Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial",0.956,0.964,2233589,4.90,6.30,0.782,0.928,0.942,0.972,0.954,0.775,0.893,0.967,0.958,0.967,1,294.00000,1816.00000,66.00000,1259.00000,113,10,113,2,,,,,,,,,,,1171827.000,1395789.000,1576320.000,2058494.000,2764508.000,2006,251,500,1755,4217,4717,0,0,0,0,0,0,0,917,75,842,955926,739486,1315589,1124682,1887740,1714117,2843909,2927205,4691557,4433942,2469310,1849629,2648238,0.574,,2663846,Instituto Profesional
Salud,Técnico en Laboratorio Clínico,0.519,0.649,814053,5.00,5.50,0.527,0.771,0.649,0.491,0.339,0.649,0.747,0.732,0.654,0.597,1,27.00000,276.00000,13.00000,408.00000,114,9,114,2,,,,,,,,,,,797136.000,828879.000,801734.000,824144.000,823071.000,338,275,639,63,149,788,0,0,0,0,0,0,0,212,164,48,538388,583740,571580,674614,656506,811868,706040,967424,819024,1139327,676165,829584,745848,0.820,,787133,Instituto Profesional
Administración y Comercio,Técnico en Logística,0.841,0.850,1323864,4.80,5.90,0.777,0.788,0.841,0.838,0.843,0.828,0.857,0.852,0.852,0.845,1,341.00000,2233.00000,102.00000,2790.00000,115,1,115,2,,,,,,,,,,,1458022.000,1419018.000,1339047.000,1320093.000,1313697.000,2957,1078,2479,1879,4568,7047,0,0,0,0,0,0,0,1572,531,1041,669820,738857,834447,934036,1100249,1197355,1556847,1666060,2175010,2303201,1280793,1437833,1283783,0.686,,1307346,Instituto Profesional
Tecnología,Técnico en Mantenimiento Industrial,0.804,0.852,1363912,4.70,6.30,0.664,0.754,0.816,0.810,0.784,0.708,0.803,0.863,0.857,0.836,1,151.00000,859.00000,31.00000,682.00000,116,10,116,2,,,,,,,,,,,1272272.000,1216599.000,1287270.000,1408126.000,1452709.000,977,70,127,907,1924,2051,0,0,0,0,0,0,0,327,18,309,627259,655240,783692,922584,1175413,1218684,1782793,1736850,3160523,2660151,1379475,1408361,1341201,0.707,,1418215,Instituto Profesional
Salud,Técnico en Masoterapia,0.310,0.415,822571,4.90,5.60,0.230,0.393,0.300,0.323,0.317,0.333,0.440,0.536,0.378,0.400,1,34.00000,262.00000,26.00000,394.00000,117,9,117,2,,,,,,,,,,,725484.000,795682.000,800546.000,807575.000,973762.000,295,199,584,96,269,853,0,0,0,0,0,0,0,293,219,74,523350,556765,560354,665387,678241,802491,884047,973488,1193294,1216247,746456,842201,767368,0.709,,773992,Instituto Profesional
Tecnología,Técnico en Mecánica Automotriz,0.668,0.734,1127360,5.00,6.30,0.515,0.633,0.702,0.635,0.657,0.573,0.682,0.720,0.760,0.713,1,332.00000,1597.00000,101.00000,2392.00000,118,10,118,2,,,,,,,,,,,993391.000,1087558.000,1091619.000,1121077.000,1204310.000,2063,136,296,1927,4489,4785,0,0,0,0,0,0,0,834,41,793,544944,625974,646851,776204,855559,1037328,1170139,1391568,1589112,1783784,998176,1172699,1046530,0.697,,1085293,Instituto Profesional
Tecnología,Técnico en Minería,0.837,0.835,1590809,4.90,6.30,0.639,0.792,0.843,0.813,0.853,0.609,0.758,0.849,0.837,0.820,1,180.00000,1913.00000,65.00000,1380.00000,119,10,119,2,,,,,,,,,,,1186696.000,1266536.000,1323959.000,1647291.000,2013818.000,2133,585,1123,1548,3356,4479,0,0,0,0,0,0,0,473,114,359,787326,699640,1122243,887275,1753946,1316723,2923139,2029048,5040287,3812494,2133018,1506958,2033592,0.599,,1892949,Instituto Profesional
Arte y Arquitectura,Técnico en Peluquería y Estética,0.279,0.349,838091,5.00,5.70,0.134,0.248,0.298,0.273,0.274,0.252,0.260,0.357,0.355,0.340,1,136.00000,1313.00000,113.00000,1929.00000,120,3,120,2,,,,,,,,,,,773925.000,820356.000,807484.000,840580.000,878854.000,1351,1297,3610,54,136,3746,0,0,0,0,0,0,0,1483,1454,29,529911,553095,567391,635704,680709,783666,850519,996379,1046300,1212101,725179,859607,765154,0.704,,810031,Instituto Profesional
Salud,Técnico en Podología,0.655,0.667,1041393,5.00,5.50,0.701,0.705,0.655,0.663,0.651,0.657,0.727,0.664,0.680,0.661,1,75.00000,743.00000,32.00000,763.00000,121,9,121,2,,,,,,,,,,,1186288.000,1169959.000,1001047.000,1040924.000,1081264.000,830,762,2282,68,210,2492,0,0,0,0,0,0,0,801,752,49,595649,647103,729775,786642,933982,972688,1145547,1197367,1616913,1693266,1061732,1120498,1128630,0.802,,1096726,Instituto Profesional
Tecnología,Técnico en Prevención de Riesgos,0.747,0.765,1208885,5.00,6.20,0.528,0.663,0.745,0.758,0.741,0.558,0.619,0.744,0.765,0.793,1,86.00000,1391.00000,72.00000,1187.00000,122,10,122,2,,,,,,,,,,,1052713.000,1065930.000,1100775.000,1289778.000,1445322.000,1492,782,1949,710,1784,3733,0,0,0,0,0,0,0,954,477,477,616946,601385,769458,764219,1095419,1039867,1740298,1599715,2410687,2195581,1456261,1178903,1424488,0.604,,1379024,Instituto Profesional
Salud,Técnico en Radiología y Radioterapia,0.672,0.788,885566,5.00,5.10,0.442,0.823,0.759,0.672,0.533,0.693,0.698,0.847,0.783,0.748,1,10.00000,97.00000,16.00000,245.00000,123,9,123,2,,,,,,,,,,,839244.000,922297.000,860329.000,879820.000,917428.000,177,121,282,56,135,417,0,0,0,0,0,0,0,139,85,54,545874,646691,583472,725898,630243,866177,734725,1080169,790446,1283702,719904,941690,814412,0.799,,876485,Instituto Profesional
Ciencias Sociales,Técnico en Servicio Social,0.518,0.556,932910,4.80,6.00,0.477,0.496,0.489,0.554,0.522,0.522,0.566,0.563,0.530,0.584,1,112.00000,1886.00000,40.00000,1648.00000,124,5,124,2,,,,,,,,,,,1007326.000,889635.000,884031.000,930190.000,982551.000,1902,1629,4357,273,721,5078,0,0,0,0,0,0,0,2030,1759,271,561225,587853,653076,696300,819465,890574,1074860,1164182,1448992,1468534,887397,956393,889652,0.688,,916685,Instituto Profesional
Tecnología,Técnico en Sonido,0.330,0.465,877300,5.00,6.50,0.197,0.323,0.314,0.353,0.323,0.318,0.387,0.525,0.464,0.434,1,36.00000,284.00000,78.00000,537.00000,125,10,125,2,,,,,,,,,,,762468.000,778721.000,929644.000,778216.000,945083.000,339,29,77,310,900,977,0,0,0,0,0,0,0,257,30,227,538550,582158,599509,684996,687755,837430,800989,1024535,942711,1218717,749252,881653,822594,0.711,,818828,Instituto Profesional
Tecnología,Técnico en Telecomunicaciones,0.736,0.798,1032837,5.00,7.10,0.721,0.667,0.734,0.741,0.733,0.661,0.736,0.789,0.780,0.821,1,39.00000,221.00000,13.00000,348.00000,126,10,126,2,,,,,,,,,,,1192509.000,1183503.000,993063.000,1067749.000,1028890.000,218,18,44,200,649,693,0,0,0,0,0,0,0,158,10,148,644009,626501,751399,779004,918251,1065841,1188732,1465266,2323419,1835059,1042679,1198735,990834,0.710,,1030515,Instituto Profesional
Tecnología,Técnico en Topografía,0.789,0.774,1400113,5.00,6.20,0.672,0.791,0.798,0.745,0.829,0.687,0.826,0.787,0.757,0.781,1,31.00000,340.00000,15.00000,304.00000,127,10,127,2,,,,,,,,,,,1237949.000,1403933.000,1360318.000,1397674.000,1464121.000,329,40,117,289,786,903,0,0,0,0,0,0,0,195,28,167,591130,688012,710009,881144,980815,1271509,1362456,1817950,1808325,2321977,1166017,1464811,1293373,0.676,,1397337,Instituto Profesional
Humanidades,Técnico en Traducción e Interpretariado,0.347,0.541,1222878,5.70,7.40,0.217,0.444,0.493,0.274,0.284,0.491,0.429,0.578,0.620,0.449,1,13.00000,60.00000,46.00000,184.00000,128,8,128,2,,,,,,,,,,,920866.000,1169468.000,1475649.000,795755.000,1431433.000,157,107,237,50,134,371,0,0,0,0,0,0,0,68,42,26,580909,591691,634374,633809,783064,806984,965601,1005516,1228560,1112160,821240,1205313,969192,0.596,,1091940,Instituto Profesional
Administración y Comercio,Técnico en Turismo y Hotelería,0.448,0.529,897408,4.90,6.50,0.267,0.325,0.517,0.402,0.412,0.362,0.471,0.553,0.532,0.500,1,44.00000,479.00000,72.00000,726.00000,129,1,129,2,,,,,,,,,,,795545.000,807269.000,879653.000,901878.000,913367.000,547,356,918,191,566,1484,0,0,0,0,0,0,0,480,312,168,541545,583162,606936,675044,725510,885075,929825,1120473,1179926,1401388,790741,916673,817711,0.752,,860860,Instituto Profesional
Derecho,Técnico Jurídico,0.675,0.692,1092588,4.90,5.90,0.472,0.622,0.668,0.680,0.674,0.588,0.591,0.671,0.705,0.694,1,45.00000,562.00000,40.00000,664.00000,130,6,130,2,,,,,,,,,,,1113092.000,1129016.000,1047209.000,942376.000,1282407.000,731,504,1280,227,560,1840,0,0,0,0,0,0,0,561,413,148,595887,591207,739804,684122,1005142,922155,1356520,1192044,1959945,1566079,1100374,1017217,1111814,0.566,,1079050,Instituto Profesional
Salud,Técnico Laboratorista Dental,0.519,0.665,908092,5.00,6.10,0.423,0.618,0.490,0.547,0.514,0.289,0.622,0.706,0.610,0.658,1,17.00000,123.00000,13.00000,178.00000,131,9,131,2,,,,,,,,,,,,,,,,139,101,338,38,131,469,0,0,0,0,0,0,0,125,87,38,565774,571657,653631,649142,825336,861144,1043777,1015648,1639939,1199493,911790,969570,937462,0.797,,937175,Instituto Profesional
Agropecuaria,Técnico Veterinario,0.436,0.506,778522,5.00,6.30,0.263,0.430,0.464,0.421,0.424,0.396,0.469,0.616,0.514,0.442,1,71.00000,596.00000,37.00000,1070.00000,132,2,132,2,,,,,,,,,,,772189.000,745356.000,793925.000,756253.000,790706.000,695,564,1459,131,385,1844,0,0,0,0,0,0,0,234,191,43,532616,541247,580796,611683,648563,746588,777765,862853,967815,1077424,685449,784506,707203,0.851,,743320,Instituto Profesional
Salud,Terapia Ocupacional,0.468,0.617,1072180,9.80,11.80,0.431,0.582,0.552,0.489,0.373,0.570,0.696,0.702,0.634,0.600,1,57.00000,471.00000,10.00000,742.00000,133,9,133,2,,,,,,,,,,,1198580.000,1123180.000,1116308.000,1079640.000,935320.000,312,267,1149,45,194,1343,0,0,0,0,0,0,0,187,161,26,573703,646120,635796,877545,787088,1107360,1029689,1385057,1318570,1804701,866335,1189174,1002510,0.817,0.713,1043372,Instituto Profesional
Ciencias Sociales,Trabajo Social,0.675,0.753,1190447,8.00,9.80,0.623,0.650,0.693,0.686,0.652,0.707,0.737,0.760,0.758,0.745,1,536.00000,7953.00000,153.00000,6917.00000,134,5,134,2,,,,,,,,,,,1285857.000,1298230.000,1145541.000,1234362.000,1225725.000,4544,3918,17230,626,2914,20144,0,0,0,0,0,0,0,3627,3193,434,600246,658528,729102,877613,981864,1164513,1357548,1555322,1808421,2112053,1099933,1255513,1147942,0.726,0.620,1188297,Instituto Profesional
Arte y Arquitectura,Actuación y Teatro,0.267,0.335,1051852,8.70,11.50,0.172,0.286,0.281,0.248,0.274,0.188,0.309,0.383,0.300,0.341,0,17.00000,273.00000,315.00000,655.00000,135,3,135,3,,,,,,,,,,,,,,,,328,235,913,93,391,1304,0,0,0,0,0,0,0,214,148,66,540782,566399,609785,655952,791416,789403,980812,1328952,1317493,1798025,845806,1043078,992299,0.809,0.719,966867,Universidad
Administración y Comercio,Administración de Empresas e Ing. Asociadas,0.780,0.823,1675631,8.10,12.00,0.716,0.786,0.798,0.771,0.767,0.784,0.817,0.844,0.820,0.809,0,299.00000,2067.00000,826.00000,3408.00000,136,1,136,3,,,,,,,,,,,1737757.000,1664066.000,1663929.000,1644062.000,1725478.000,1055,556,4870,499,3203,8074,0,0,0,0,0,0,0,2626,1594,1032,634947,727578,810173,1003293,1127008,1480515,1688051,2109358,2482798,2992524,1381022,1738045,1448399,0.751,0.664,1550278,Universidad
Ciencias Sociales,Administración Pública,0.777,0.881,1786637,10.10,11.30,0.677,0.764,0.808,0.775,0.754,0.834,0.832,0.892,0.897,0.859,0,205.00000,2329.00000,514.00000,4557.00000,137,5,137,3,,,,,,,,,,,1946576.000,1804106.000,1735576.000,1775465.000,1853783.000,1923,1097,4630,826,3842,8473,0,0,0,0,0,0,0,1477,822,655,640474,1006044,838984,1384362,1191539,1899910,1699948,2367778,2378654,2847769,1361765,1907871,1534635,0.826,0.766,1688909,Universidad
Administración y Comercio,Administración Turística y Hotelera,0.471,0.583,1096398,8.60,11.20,0.217,0.342,0.552,0.432,0.436,0.424,0.431,0.583,0.586,0.580,0,39.00000,460.00000,303.00000,981.00000,138,1,138,3,,,,,,,,,,,1043975.000,951690.000,1143876.000,1104599.000,1041165.000,434,309,1171,125,651,1822,0,0,0,0,0,0,0,357,213,144,585684,621709,666194,736898,796600,1003008,1002531,1379614,1283313,1970909,884018,1185029,949767,0.797,0.690,1011047,Universidad
Agropecuaria,Agronomía,0.682,0.760,1729270,10.00,14.20,0.644,0.735,0.720,0.679,0.656,0.762,0.793,0.809,0.755,0.733,0,263.00000,1837.00000,1211.00000,3579.00000,139,2,139,3,,,,,,,,,,,1786087.000,1804291.000,1792461.000,1675569.000,1732205.000,1413,610,2907,803,4110,7017,0,0,0,0,0,0,0,938,373,565,589905,712799,742929,1120534,1063960,1672313,1524051,2331721,2136224,3344150,1236432,1933593,1430559,0.809,0.731,1560013,Universidad
Ciencias Sociales,Antropología,0.613,0.772,1623765,9.90,14.60,0.471,0.578,0.578,0.686,0.591,0.560,0.690,0.828,0.812,0.708,0,23.00000,592.00000,507.00000,1085.00000,140,5,140,3,,,,,,,,,,,1391188.000,1534336.000,1463144.000,1773084.000,1689714.000,398,254,1439,144,829,2268,0,0,0,0,0,0,0,274,173,101,604930,743070,713742,1143820,1073030,1504463,1731589,2416613,2557540,3368937,1324790,1679150,1433148,0.857,0.800,1540997,Universidad
Arte y Arquitectura,Arquitectura,0.615,0.739,1493345,11.20,14.70,0.595,0.613,0.652,0.624,0.570,0.725,0.746,0.772,0.725,0.728,0,307.00000,3711.00000,3643.00000,9546.00000,141,3,141,3,,,,,,,,,,,1553328.000,1554052.000,1536959.000,1448335.000,1491468.000,3472,2023,9721,1449,7982,17704,0,0,0,0,0,0,0,1716,916,800,575696,790949,694889,1090984,916846,1446963,1207395,1848925,1602235,2422023,1083856,1606588,1230511,0.819,0.747,1373125,Universidad
Arte y Arquitectura,Artes y Licenciatura en Artes,0.316,0.439,1036737,8.40,10.90,0.283,0.212,0.286,0.384,0.260,0.402,0.396,0.450,0.366,0.483,0,46.00000,848.00000,787.00000,1638.00000,142,3,142,3,,,,,,,,,,,1018580.000,1117558.000,1007083.000,1074324.000,1026537.000,873,645,2608,228,834,3443,0,0,0,0,0,0,0,576,435,141,533057,582604,590837,684970,734556,977491,957777,1318498,1467541,1677753,1025271,1153071,1061004,0.831,0.749,1001528,Universidad
Humanidades,Bibliotecología,0.750,0.813,1339844,10.00,13.10,,,,,,,,,,,0,9.00000,126.00000,23.00000,217.00000,143,8,143,3,,,,,,,,,,,,,,,,72,60,338,12,105,443,0,0,0,0,0,0,0,66,45,21,664128,797178,831143,1149661,1086375,1335758,1453967,2093191,1813506,2184395,1057931,1627930,1082029,0.754,0.738,1268969,Universidad
Ciencias Básicas,Biología,0.548,0.671,1400218,10.00,13.70,0.442,0.607,0.563,0.645,0.480,0.660,0.574,0.695,0.662,0.663,0,14.00000,355.00000,349.00000,599.00000,144,4,144,3,,,,,,,,,,,1251925.000,1203676.000,1259884.000,1384963.000,1539915.000,323,172,766,151,575,1341,0,0,0,0,0,0,0,183,109,74,607515,773497,676381,1030214,916403,1331465,1188765,1735985,1300006,2107154,1076664,1307996,1257555,0.819,0.663,1354407,Universidad
Ciencias Básicas,Biología Marina y Ecología Marina,0.599,0.726,1320336,10.00,13.40,,,,,,,,,,,0,22.00000,624.00000,316.00000,1108.00000,145,4,145,3,,,,,,,,,,,1139588.000,1326462.000,1246719.000,1272544.000,1415142.000,548,317,1173,231,927,2100,0,0,0,0,0,0,0,222,135,87,649866,691032,733182,882346,901400,1429894,1111321,1977414,1528019,2218121,1036298,1400644,1167847,0.806,0.708,1269657,Universidad
Ciencias Básicas,Bioquímica,0.643,0.711,1458953,10.50,14.10,0.583,0.841,0.824,0.630,0.562,0.721,0.796,0.807,0.704,0.655,0,19.00000,706.00000,622.00000,1562.00000,146,4,146,3,,,,,,,,,,,1563510.000,1727240.000,1646121.000,1428543.000,1266671.000,623,395,1728,228,1215,2943,0,0,0,0,0,0,0,315,181,133,598509,650436,729944,928650,932599,1363713,1144413,1824546,1471132,2645706,1059559,1568533,1308474,0.791,0.704,1376985,Universidad
Ciencias Sociales,Ciencias Políticas,0.582,0.757,1564680,9.20,11.40,0.519,0.525,0.646,0.572,0.538,0.709,0.716,0.752,0.762,0.756,0,20.00000,364.00000,459.00000,809.00000,147,5,147,3,,,,,,,,,,,1622155.000,1494572.000,1583066.000,1560453.000,1534923.000,440,273,937,167,781,1718,0,0,0,0,0,0,0,333,193,140,584762,825935,757669,1157833,998283,1502837,1418063,2123257,1909686,2840612,1111607,1702526,1220455,0.813,0.766,1397194,Universidad
Arte y Arquitectura,Comunicación Audiovisual y/o Multimedia,0.467,0.564,1222311,9.10,11.50,0.459,0.487,0.558,0.431,0.391,0.597,0.662,0.588,0.633,0.471,0,24.00000,227.00000,364.00000,745.00000,148,3,148,3,,,,,,,,,,,1470483.000,1197860.000,1289361.000,1367211.000,1007944.000,294,135,595,159,803,1398,0,0,0,0,0,0,0,171,69,102,570615,601560,647746,855206,760370,1188620,946165,1552281,1428870,2376733,1065601,1290274,1092736,0.832,0.752,1179803,Universidad
Tecnología,Construcción Civil,0.830,0.852,1886039,9.40,14.10,0.804,0.819,0.863,0.851,0.776,0.823,0.880,0.833,0.848,0.877,0,77.00000,582.00000,310.00000,1187.00000,149,10,149,3,,,,,,,,,,,1821913.000,2036197.000,1932113.000,1945622.000,1778659.000,458,131,556,327,1713,2269,0,0,0,0,0,0,0,422,106,316,654983,995240,860926,1434193,1147489,1946268,1508748,2559082,1949326,3208411,1362522,2098714,1577830,0.838,0.749,1736939,Universidad
Administración y Comercio,Contador Auditor,0.853,0.896,1687026,9.20,11.80,0.808,0.838,0.871,0.861,0.829,0.865,0.888,0.909,0.892,0.891,0,695.00000,3697.00000,362.00000,6059.00000,150,1,150,3,,,,,,,,,,,1785928.000,1701832.000,1756798.000,1641112.000,1662338.000,2599,1280,6287,1319,5347,11634,0,0,0,0,0,0,0,2119,1300,819,641315,828142,803679,1125089,985729,1576091,1339165,2104308,1926421,2961186,1206722,1825824,1357323,0.839,0.753,1506715,Universidad
Derecho,Derecho,0.751,0.821,2204826,10.40,16.20,0.700,0.751,0.783,0.754,0.726,0.772,0.807,0.813,0.831,0.821,0,753.00000,11210.00000,9824.00000,24634.00000,151,6,151,3,,,,,,,,,,,2435972.000,2379971.000,2178043.000,2233583.000,2206370.000,10202,5926,28372,4276,21435,49807,0,0,0,0,0,0,0,4923,2690,2233,688623,936692,993915,1458122,1461806,2057321,2046456,2951163,2815678,4261475,1662615,2426582,1852956,0.832,0.757,2050181,Universidad
Arte y Arquitectura,Diseño,0.598,0.717,1450393,9.90,12.10,0.480,0.607,0.677,0.608,0.503,0.695,0.698,0.750,0.716,0.700,0,62.00000,965.00000,2752.00000,2725.00000,152,3,152,3,,,,,,,,,,,1211475.000,1345994.000,1514884.000,1389188.000,1444639.000,1385,1124,5196,261,1397,6594,0,0,0,0,0,0,0,696,578,118,557568,705677,664108,955927,808121,1309591,1073436,1873735,1498187,2609168,1035131,1525896,1193890,0.885,0.822,1298863,Universidad
Arte y Arquitectura,Diseño Gráfico,0.436,0.534,1179236,9.20,11.60,0.464,0.500,0.468,0.388,0.449,0.535,0.603,0.632,0.479,0.497,0,47.00000,483.00000,287.00000,1123.00000,153,3,153,3,,,,,,,,,,,1227362.000,1246335.000,1198571.000,1256314.000,1115132.000,396,231,1164,165,821,1986,0,0,0,0,0,0,0,232,141,91,560661,566377,622379,736460,753203,1027279,1001007,1374610,1256962,2192294,899199,1243756,1000243,0.836,0.751,1055086,Universidad
Tecnología,Diseño Industrial,0.577,0.632,1194060,8.90,13.60,0.357,0.544,0.694,0.514,0.591,0.563,0.587,0.667,0.654,0.592,0,27.00000,162.00000,62.00000,342.00000,154,10,154,3,,,,,,,,,,,963869.000,1086116.000,1280888.000,1191207.000,1106408.000,157,105,358,52,243,601,0,0,0,0,0,0,0,82,42,40,548699,652689,607492,862617,815715,1060363,938168,1269955,1377644,2432645,907220,1320772,955411,0.824,0.740,1057889,Universidad
Salud,Enfermería,0.786,0.879,1832131,10.00,12.10,0.930,0.980,0.918,0.769,0.647,0.953,0.982,0.958,0.903,0.833,0,839.00000,10947.00000,3396.00000,21593.00000,155,9,155,3,,,,,,,,,,,1790618.000,2013406.000,1852236.000,1802200.000,1850417.000,7588,6182,30333,1406,7069,37402,0,0,0,0,0,0,0,5642,4713,929,613838,1017889,766471,1418584,1064108,1826430,1402428,2255477,1764501,2648021,1322775,1864807,1559232,0.877,0.827,1740235,Universidad
Salud,Fonoaudiología,0.418,0.604,1108057,10.00,12.20,0.284,0.618,0.462,0.407,0.362,0.504,0.673,0.679,0.600,0.588,0,219.00000,2371.00000,305.00000,4453.00000,156,9,156,3,,,,,,,,,,,1098494.000,1145691.000,1097803.000,1118110.000,1112634.000,1476,1315,6666,161,805,7471,0,0,0,0,0,0,0,1398,1276,122,542551,657129,608064,813328,719964,1083626,928554,1383782,1201075,1708107,844334,1135677,968972,0.794,0.729,1048130,Universidad
Ciencias Sociales,Geografía,0.647,0.827,1401673,10.00,14.00,0.571,0.704,0.663,0.651,0.628,0.718,0.806,0.819,0.846,0.813,0,12.00000,260.00000,221.00000,562.00000,157,5,157,3,,,,,,,,,,,1664442.000,1500984.000,1353416.000,1401640.000,1504953.000,175,66,398,109,682,1080,0,0,0,0,0,0,0,234,109,125,606091,813949,703272,1154181,878374,1547098,1208155,1937807,1507998,2297371,994744,1600847,1198825,0.848,0.746,1364132,Universidad
Ciencias Básicas,Geología,0.687,0.821,2919331,10.70,16.20,0.623,0.644,0.762,0.659,0.665,0.751,0.773,0.835,0.835,0.804,0,37.00000,955.00000,649.00000,2352.00000,158,4,158,3,,,,,,,,,,,3015161.000,2667849.000,2924205.000,3032760.000,2762677.000,816,310,1576,506,2456,4032,0,0,0,0,0,0,0,538,222,316,632905,1185781,900438,1714756,1330299,2592261,1909101,3952188,3259218,5965511,1713546,3182406,2015164,0.824,0.745,2539496,Universidad
